รายวิชาเพิ่มเติม ม.5  2/2568,,"  หมายเหตุ :  1.  นักเรียนต้องอ่านเงื่อนไขของบางรายวิชาให้ชัดเจน และห้ามลงทะเบียนเรียนซ้ำในรายวิชาที่เคยเรียนมาแล้วในช่วง ม.4-6
                       2.  ตัวอักษรและตัวเลขที่แสดงในวงเล็บ เป็นวันและคาบเรียนในช่วงที่ใช้ตารางคาบ 0 , 9  (วันที่ 6 ต.ค. 68 - 27 พ.ย. 68) ",,,,,,,,,,,,,,,,,,,,,,,,,,
รหัสวิชา,ชื่อรายวิชา,นก.,คาบ/สัปดาห์,คำแนะนำรายวิชา,อ.ผู้สอน,กลุ่ม / ตอนเรียน,กลุ่มการเรียนที่ลงทะเบียนได้,จำนวนรับ,เงื่อนไขรายวิชา,จันทร์,,,,อังคาร,,,พุธ,,,,,พฤหัสบดี,,,,ศุกร์,,
,,,,,,,,,,3,4,7 (จ8),8 (จ9),1 (จ0),2 (จ1),6 (พฤ9),3,4,6,7,8,1,2,7,8,3,4,6
,,,,,,,,,,ว ศ,ว ศ,ว ศ,ว ศ,ว ศ,ว ศ,ว ศ,ว ศ,ว ศ,ว ศ,ว,ว,ว ศ,ว ศ,ว ศ,ว ศ,ว ศ,ว ศ,ว
"กลุ่มสาระการการเรียนรู้วิทยาศาสตร์
และเทคโนโลยี",,,,,,,,,,,,,,,,,,,,,,,,,,,,
ว30213,ฟิสิกส์ 3,1.5,3,"ศึกษาวิเคราะห์หลักการเกี่ยวกับการแทรกสอด การเลี้ยวเบนของแสง การหาความยาวคลื่นแสง สีต่าง ๆ โดยใช้เกรตติง การกระเจิงแสง ไฟฟ้า สถิต กระแสไฟฟ้า การวิเคราะห์วงจรไฟฟ้า กระแสตรงเบื้องต้น เครื่องวัดไฟฟ้า ไฟฟ้า และ แม่เหล็ก ไฟฟ้ากระแสสลับ และคลื่น แม่เหล็กไฟฟ้า เพื่อเตรียม
ความพร้อมในการ สอบแข่งขัน และนําความรู้ไปใช้
ในชีวิตประจําวัน",อ.พรเทพ,1,วิทย์-คณิต,30,,✔,✔,,,,,,,,,✔,,,,,,,,
,,,,,ผศ.อมรรัตน์,2,วิทย์-คณิต,30,,,,,,,,,,,,,✔,✔,✔,,,,,
,,,,,ผศ.อมรรัตน์,3,วิทย์-คณิต,30,,✔,✔,,,,,,,,,✔,,,,,,,,
,,,,,อ.พรเทพ,4,วิทย์-คณิต,30,,,,,,,,,,,,,✔,✔,✔,,,,,
,,,,,ผศ.อมรรัตน์,5,วิทย์-คณิต,30,,,,,,✔,✔,,,✔,,,,,,,,,,
