รายวิชาเพิ่มเติม ม.6  2/2568,,"  หมายเหตุ :  1.  นักเรียนต้องอ่านเงื่อนไขของบางรายวิชาให้ชัดเจน และห้ามลงทะเบียนเรียนซ้ำในรายวิชาที่เคยเรียนมาแล้วในช่วง ม.4-6
                       2.  ตัวอักษรและตัวเลขที่แสดงในวงเล็บ เป็นวันและคาบเรียนในช่วงที่ใช้ตารางคาบ 0 , 9  (วันที่ 6 ต.ค. 68 - 27 พ.ย. 68) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
รหัสวิชา,ชื่อรายวิชา,นก.,คาบ/สัปดาห์,คำแนะนำรายวิชา,อ.ผู้สอน,กลุ่ม / ตอนเรียน,กลุ่มการเรียนที่ลงทะเบียนได้,จำนวนรับ,เงื่อนไขรายวิชา,จันทร์,,,,,,อังคาร,,พุธ,,,,,พฤหัสบดี,,,,ศุกร์,,,,
,,,,,,,,,,1 (จ0),2 (จ1),3,4,7,8,4 (พ9),6 (พฤ9),1 (พ0),2 (พ1),3,4,6,1,2,7,8,1,2,4,7,8
,,,,,,,,,,ว ศ,ว ศ,ว ศ,ว ศ,ว ศ,ว ศ,ว ศ,ว ศ,ว ศ,ว ศ,ว ศ,ว ศ,ว ศ,ว ศ,ว ศ,ว ศ,ว ศ,ว ศ,ว ศ,ว ศ,ว ศ,ว ศ
"กลุ่มสาระการการเรียนรู้วิทยาศาสตร์
และเทคโนโลยี",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ว30215,ฟิสิกส์ 5,1.5,3,ศึกษา และทดลองเกี่ยวกับ ความรู้ด้านของไหล ความร้อน ฟิสิกส์อะตอม และฟิสิกส์อนุภาค,ผศ.อมรรัตน์,1,วิทย์-คณิต,30,,,,,,,,,,,,,,✔,,,✔,✔,,,,,
,,,,,อ.วรรณา,2,วิทย์-คณิต,30,,✔,✔,,,,,,,,,,,,,,,,✔,,,,
,,,,,อ.พรเทพ,3,วิทย์-คณิต,30,,,✔,,,,,,,✔,✔,,,,,,,,,,,,
,,,,,ผศ.อมรรัตน์,4,วิทย์-คณิต,30,,,,,,,,,✔,,,,,,,,,,✔,✔,,,
ว33236,เคมี 6,2,4,"ศึกษา ทดลอง เกี่ยวกับการเคมีไฟฟ้า เซลล์กัลวานิกและ
เซลล์อิเล็กโทรไลต์ การชุบโลหะ การแยกสารหลอมเหลวและสารละลายด้วยไฟฟ้า รวมถึงการสรุปเนื้อหาวิชาเคมีพื้นฐานและเคมีเพิ่มเติม เพื่อฝึกแก้ปัญหาโจทย์ตามแนวข้อสอบ Admission",อ.พรพรหม,1,วิทย์-คณิต,33,,,,✔,✔,,,,✔,,,,,,,,,,,,✔,,
